question,reference_answer,answer,score,dataset,dataset_num,normalized_score,soal_num,kategori
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,membuat tubuh tahan banting agar membuat tubuh terlihat bugar agar badan tidak lemas agar tetap sehat,7,analisis_essay,analisis_essay-1,0.07,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,sebagai sumber energi pemanis alami menjaga sistem imun tubuh mengoptimalkan kerja protein,21,analisis_essay,analisis_essay-1,0.21,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,sebagai sumber energi tubuh mengendalikan berat badan karbohidrat untuk mencegah penyakit memelihara kesehatan jantung mendukung fungsi pencernaan meningkatkan penyerapan nutrisi mencegah kerusakan otot mengatur kenaikan kadar gula dalam darah mencukupi kebutuhan fitonutrien mendukung fungsi otak mengatasi kecemasan,53,analisis_essay,analisis_essay-1,0.53,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,1 untuk menjaga sistem imun tubuh 2 untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3 mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4 pemasok energi,48,analisis_essay,analisis_essay-1,0.48,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrat merupakan salah satu komponen sebagai sumber tenaga dalam tubuh kita,21,analisis_essay,analisis_essay-1,0.21,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,agar tubuh menjadi bersemangat dan sehat kuat,10,analisis_essay,analisis_essay-1,0.1,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,sumber energi tubuh mengendalikan berat badan,15,analisis_essay,analisis_essay-1,0.15,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,nutrisi untuk tubuh menambah kekuatan mochi macho,5,analisis_essay,analisis_essay-1,0.05,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk suplay energi,15,analisis_essay,analisis_essay-1,0.15,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk sumber energi untuk pembentuk sel sebagai sumber tenaga sebagai pembentuk daging,19,analisis_essay,analisis_essay-1,0.19,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk penambah stamina dalam tubuh kita dan untuk pencernaan,17,analisis_essay,analisis_essay-1,0.17,1,lifestyle
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,untuk menggantikan energi yang sudah terkuras,15,analisis_essay,analisis_essay-1,0.15,1,lifestyle
