question,reference_answer,answer,score,dataset,dataset_num,soal_num
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,selection sort finds the lowest element in the data set and places it behind the pivot point,4.5,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,goes to the middle of the list checks to see if it is greater or less then the value given and moves through the list accordingly to add the value into the proper place,2.0,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,selection sort is usually a recursive sorting method where you divide the elements to be sorted in half repeatedly you then sort the smallest case then work your way up sorting each until they are all sorted,2.5,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,it scans the list and selects the smallestlargestelement and places it in the front increment the curptr by one scan the list again for the next smallestlargestelement and place it in with respect with the other sorted elements,5.0,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,selection sort selects the smallest element out of the list then the second smallest and sorts them acordingly,5.0,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,selection sort traverses an unsorted array looking for the smallest value when it is found it is put at the beginning of the unsorted array performed several times this will output a sorted array,5.0,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,selection sort is a sorting algorithm that divides a list in half and has two lists it then compares the first elements in both these lists and puts these elements in another list having the smaller element before the bigger one,2.0,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,compare the largest element to the front element and swap data according to value if needed,4.0,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,selection sort searches the array for the lowest value and swaps it with the first value in the array then searches for the next lowest value and swaps it with the second item in the array and so on,5.0,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,selection sort iterates through the array one element at a time seeking the least value from the right and replacing the current value with it,4.5,sag,sag-2,2
"Briefly, how does selection sort work?",it selects the minimum from an array and places it on the first position then it selects the minimum from the rest of the array and places it on the second position and so forth,iterate through the listassume list of integers find the smallest one and put it in a separate sorted list then traverse again and find the next smallest and move it to the sorted section and repeat until you run out of elements to sort,5.0,sag,sag-2,2
