question,reference_answer,answer,normalized_score,dataset_num,predicted_score_0_True,predicted_score_0_False,predicted_score_1_True,predicted_score_1_False,predicted_score_2_True,predicted_score_2_False
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,1 kegunaannya untuk memberikan tenaga bagi tubuh kita 2 memberikan energi 3 memberikan lemak 4 memberikan efek kenyang bagi tubuh kita,0.52,analisis_essay-1,0.27575043,0.34223285,0.34527248,-0.22054443,0.35628262,0.10642167
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa di dalam tubuh serta proses untuk membentuk jaringan sel struktur dan juga organ organ dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi dalam 1 gram karbohidrat mampu menghasilkan 4 kkalori yang melalui proses pembakaran kimiawi di dalam tubuh akan menjadi sumber energi makanan ber karbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan karena sifat kandungan yang ada dalam karbohidrat yang manis maka fungsi karbohidrat kali ini adalah sebagai pemanis alami khususnya dengan kandungan monosakarida dan disakarida fungsi karbohidrat juga berperan penting untuk mengoptimalkan kerja protein karena apabila tubuh mengalami kekurangan asupan karbohidrat maka protein akan menggantikan fungsi karbohidrat sebagai penghasil energi dan zat pembentuk tubuh,0.79,analisis_essay-1,0.7331438,0.61425203,0.7753418,-0.28930593,0.68212116,0.13471213
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,membuat tubuh tahan banting agar membuat tubuh terlihat bugar agar badan tidak lemas agar tetap sehat,0.07,analisis_essay-1,0.28024602,0.22797027,0.14630899,-0.17238477,0.17095666,0.07320318
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrak untuk tubuh manusia berguna untuk memberikan energi bagi tubuh kita,0.21,analisis_essay-1,0.14920637,0.46368986,0.1945233,-0.5707032,0.17658971,0.1061294
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrat berguna untuk menambah energi pada tubuh kita,0.2,analisis_essay-1,0.17332812,0.4927066,0.20749249,-0.48955953,0.19310331,0.121860035
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,karbohidrat merupakan salah satu komponen sebagai sumber tenaga dalam tubuh kita,0.21,analisis_essay-1,0.16772436,0.48921615,0.21918558,-0.5219314,0.19764161,0.09765177
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,otak merupakan bagian terpenting dari tubuh manusia segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh pikiran positif akan menghindarkan anda dari stres meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal,1 selalu olahraga teratur 2 makan makanan yang sehat,0.1,analisis_essay-10,0.037947513,0.073983945,0.12632541,0.24980897,0.12225352,0.06912782
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,otak merupakan bagian terpenting dari tubuh manusia segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh pikiran positif akan menghindarkan anda dari stres meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal,positive thinking,0.01,analisis_essay-10,0.16580452,0.26158267,0.08918906,-0.10492655,0.090680405,0.10743409
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,otak merupakan bagian terpenting dari tubuh manusia segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh pikiran positif akan menghindarkan anda dari stres meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal,secara psikologi berfikir positif mampu meningkatkan kepercayaan diri yang akan berakibat baik pada sistem kekebalan tubuh sehingga pola hidup sehat akan terjaga karena fikiran yang selalu positif dan tidak cenderung pada suatu hal negatif,0.46,analisis_essay-10,0.5422292,0.48227227,0.40533516,-0.3371501,0.3947747,0.11190959
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,otak merupakan bagian terpenting dari tubuh manusia segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh pikiran positif akan menghindarkan anda dari stres meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal,menyebabkan kondisi yang positif pada jiwa seseorang,0.22,analisis_essay-10,0.13177262,0.271319,0.142471,-0.23309207,0.16903141,0.083664455
