config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson
0,1,0.04753336515875721,0.16396584,0.21822476,0.6879647086734519,0.03595792568064228,0.15046073,0.1957981,0.8893607183065243
0,2,0.024211002274527462,0.1205181,0.15563202,0.8319923973932237,0.026083276074911867,0.14401358,0.16622186,0.9019075705128512
0,3,0.02053948048792711,0.11125063,0.14300469,0.8577270273336227,0.030296564041886347,0.14044233,0.17968298,0.9110502949853829
0,4,0.019118448185367048,0.10584681,0.13832064,0.8667818368599275,0.027863622194023004,0.13665254,0.17159215,0.9148486013389258
0,5,0.01607879927518581,0.09704686,0.12646236,0.8876784378339653,0.033266151091083884,0.1459117,0.18698542,0.9039985007210602
0,6,0.014391996410735157,0.093041815,0.120149,0.8985266287063335,0.024396553228143603,0.12988256,0.16089731,0.9110542518575406
0,7,0.013049345980441078,0.08844451,0.11430201,0.907689829791154,0.023141447180283388,0.13242829,0.15687951,0.9194624132258594
0,8,0.011235540826728037,0.08091815,0.10623681,0.919391294606308,0.02098585377929599,0.12664703,0.14943884,0.9280121978340191
0,9,0.010204617025911671,0.07800953,0.10112101,0.9267841824078887,0.023322011643488492,0.12647422,0.15648156,0.9236469581949087
0,10,0.00917193998471586,0.07390356,0.09528376,0.9357336685107731,0.021559758053626865,0.12466443,0.15123048,0.9184038287369165
0,11,0.007922557562828884,0.068809144,0.08913677,0.9428067865430616,0.021090910038245574,0.12153662,0.14904854,0.9203213620433249
0,12,0.007430404245238238,0.06665617,0.08615446,0.9467455442440538,0.024518432361739024,0.13137986,0.1607168,0.9160003465421902
0,13,0.0059032658640500325,0.05885571,0.07689494,0.9573838101024648,0.02355532587638923,0.12719277,0.15768823,0.9184241248915603
1,1,0.04642754290983373,0.16211534,0.21601944,0.6640057966378953,0.03204308547234783,0.13966982,0.18351641,0.8267521804136372
1,2,0.025189089114029034,0.12199103,0.15714066,0.8137926160873057,0.029658130641716223,0.13111304,0.17648979,0.8698713208167622
1,3,0.02161904447141341,0.11436818,0.1476454,0.8349135562498498,0.02755369261528055,0.12472168,0.16965744,0.8925039847265879
1,4,0.018357506688392044,0.10378744,0.13388246,0.8628113008313406,0.02069937553217945,0.11460049,0.14758983,0.8986542008292362
1,5,0.015751540898254104,0.09713797,0.12584572,0.8755347441987124,0.026413627279301483,0.1433694,0.1655311,0.8846353250969089
1,6,0.014955314734548914,0.09462247,0.12173597,0.8855863762148262,0.018930010924426217,0.11008578,0.14100473,0.9016406158317195
1,7,0.012151915821995513,0.084263146,0.1103111,0.905758880926366,0.02108377676146726,0.12520167,0.14827232,0.8992103694023449
1,8,0.012347470672216778,0.08622224,0.11114625,0.9050212487121921,0.021473878684143227,0.12634309,0.14949585,0.9065611893471345
1,9,0.010303669059009967,0.079003155,0.101798244,0.9187072323174982,0.019365112151717767,0.10830313,0.14280026,0.8961662428671284
1,10,0.010157131699516493,0.079692855,0.10062913,0.9212022846591946,0.01769040517198543,0.10984598,0.13596466,0.8990384251469592
1,11,0.009350084491968886,0.075391605,0.096980736,0.9265488558953628,0.019381401187274605,0.111424394,0.14233774,0.907517716627762
1,12,0.007263309181914391,0.06452586,0.085255444,0.9427583132811325,0.01894140992468844,0.116064735,0.1409693,0.9062719081978473
1,13,0.006893176796581304,0.06333139,0.08329695,0.9459886539681639,0.020451036340091377,0.1148296,0.14661762,0.8957073231760156
1,14,0.005808306558915943,0.059323717,0.076369405,0.9544079193194229,0.020702209944526356,0.11631921,0.14748088,0.9038541802806209
1,15,0.005149320756447874,0.05614559,0.07206617,0.9587961753779166,0.018533418808753293,0.11353017,0.1395693,0.901834239572609
2,1,0.047533355879708444,0.16396584,0.21822473,0.6879647390079855,0.035957693484046364,0.15046032,0.19579746,0.8893611569259223
2,2,0.024210984071016038,0.12051804,0.15563196,0.8319925511418071,0.026083276723511517,0.14401363,0.16622186,0.9019061332655361
2,3,0.0205393979377156,0.11124966,0.14300428,0.8577275092142093,0.03030411077322372,0.140456,0.17970502,0.911050781915621
2,4,0.019119502386983928,0.10585372,0.13832438,0.866776397155365,0.027865211030335298,0.13665529,0.17159769,0.9148664587014882
2,5,0.016079864342944748,0.09704837,0.12646602,0.8876718604976644,0.03324083471670747,0.14585605,0.18691546,0.9040393302720242
2,6,0.014388178915229685,0.09302974,0.12013474,0.8985503629898459,0.02441548487071746,0.12992862,0.16095862,0.9110126972297198
2,7,0.013052267898215886,0.08845154,0.11431297,0.9076760687800345,0.023157251741005375,0.13248254,0.15692936,0.9195271086929077
2,8,0.011241714474360604,0.08095709,0.10626392,0.9193503633417772,0.020942923953823214,0.12652397,0.14929333,0.9281187584304963
2,9,0.010210205937539218,0.07803574,0.101151146,0.9267452323854531,0.023313200966055905,0.12637693,0.15648927,0.923165847468127
2,10,0.00916185487412053,0.07383851,0.09523094,0.9358136478178735,0.02160991675918922,0.12491389,0.1514396,0.9177991583176861
2,11,0.007932432306665552,0.06886885,0.089185186,0.9427508729346649,0.021269562587674175,0.12205861,0.14969672,0.9199683443533996
2,12,0.007454962142820068,0.06673477,0.08627256,0.9465832338425735,0.02454590070660093,0.13124053,0.16083187,0.9154723817408801
2,13,0.005864336725683251,0.058715872,0.07663888,0.9576611565260864,0.023382518207654357,0.12717618,0.15713312,0.9185478051154706
3,1,0.04642754382289508,0.16211534,0.21601944,0.6640057952836593,0.03204309430050974,0.13966982,0.18351644,0.8267520859391659
3,2,0.025189095003274726,0.12199106,0.15714067,0.8137925982215322,0.029658055243392784,0.13111296,0.17648956,0.8698706467750529
3,3,0.02161900246260213,0.11436813,0.14764526,0.8349137525352152,0.02755354403052479,0.1247217,0.16965698,0.8925064369121128
3,4,0.01835731706837667,0.10378704,0.13388205,0.8628121019773304,0.020699257516146947,0.114602014,0.14758945,0.8986507742913705
3,5,0.01574976399641338,0.09712247,0.12583964,0.8755355894521789,0.026296348699058097,0.14301679,0.1651782,0.8847073601038347
3,6,0.014941618161495118,0.0945216,0.12167987,0.8856850653405527,0.018859033240005374,0.109897256,0.14072923,0.902290757702258
3,7,0.012161354415630009,0.08424504,0.110354856,0.9056978486110697,0.020878309772039454,0.12458874,0.14753103,0.9006108897000726
